Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66120000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66120000;1;24/02/2000;01/01/1900 10:10:00;1;24/02/2000;01/01/1900 10:10:00;1;417;396;796,6;132,20;0,497;71,05;417;;61,31;50,83;;
66120000;1;09/05/2000;01/01/1900 09:50:00;2;09/05/2000;01/01/1900 09:50:00;5;473;514,11;832,5;135,20;0,618;16,15;473;;18,97;64,01;;
66120000;1;14/06/2000;01/01/1900 13:35:00;3;14/06/2000;01/01/1900 13:35:00;2;466;501;84,23;137,70;0,595;46,18;466;;31,79;67,20;;
66120000;1;23/08/2000;01/01/1900 10:30:00;4;23/08/2000;01/01/1900 10:30:00;3;330;280;676,5;128,70;0,414;119,06;330;;38,68;48,49;;
66120000;1;22/11/2000;01/01/1900 10:10:00;5;22/11/2000;01/01/1900 10:10:00;4;359;316,3;698,78;130,20;0,453;139,72;359;;69,90;54,23;;
66120000;1;16/08/2001;01/01/1900 10:30:00;6;16/08/2001;01/01/1900 07:50:00;27;310;249,472;623,95;127,00;0,400;118,87;310;;43,75;46,08;;
66120000;1;21/11/2001;01/01/1900 10:00:00;7;21/11/2001;01/01/1900 07:10:00;28;364;312,089;666,73;130,70;0,468;62,58;364;;67,91;50,78;;
66120000;1;06/04/2002;01/01/1900 10:10:00;29;06/04/2002;01/01/1900 07:10:00;29;517;651,254;885,62;156,20;0,735;13,68;517;;16,77;63,41;;
66120000;1;22/10/2002;01/01/1900 16:00:00;31;22/10/2002;01/01/1900 13:20:00;31;295;238,926;612,06;126,10;0,300;70,60;295;30,70;9,68;42,67;;
66120000;1;30/01/2003;01/01/1900 11:05:00;32;30/01/2003;01/01/1900 08:45:00;32;394;378,768;735,35;130,00;0,515;47,23;394;31,20;48,42;55,87;;
