Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66120000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66120000;1;22/04/2003;01/01/1900 14:05:00;33;22/04/2003;01/01/1900 11:40:00;33;515;665,089;909,18;155,10;0,732;54,23;515;27,90;24,10;65,00;;
66120000;1;04/09/2003;01/01/1900 13:50:00;34;04/09/2003;01/01/1900 11:30:00;34;330;271,263;698,05;129,00;0,389;219,55;330;26,30;32,42;44,00;;
66120000;1;23/09/2004;01/01/1900 11:05:00;36;23/09/2004;01/01/1900 08:35:00;36;289;243,262;669,06;127,30;0,364;44,69;289;;61,56;41,70;;
66120000;1;23/06/2005;01/01/1900 11:15:00;37;23/06/2005;01/01/1900 08:25:00;37;424;384,312;796,01;132,90;0,483;111,54;424;;30,44;58,60;;
66120000;1;28/09/2006;01/01/1900 17:20:00;39;28/09/2006;01/01/1900 14:30:00;39;309;324,268;751,54;127,30;0,431;241,68;309;21,00;123,81;53,00;;
66120000;1;17/05/2008;01/01/1900 12:40:00;42;17/05/2008;01/01/1900 09:15:00;42;516;610;1025;146,20;0,596;10,32;516;24,20;16,51;55,00;;
66120000;1;02/09/2008;01/01/1900 09:20:00;43;02/09/2008;01/01/1900 07:30:00;43;301;333;718;128,20;0,464;45,78;301;21,60;;47,00;;
66120000;1;05/12/2008;01/01/1900 08:40:00;44;04/12/2008;01/01/1900 18:00:00;44;299;264;708;128,80;0,373;41,58;299;29,40;53,13;54,00;;
66120000;1;01/07/2009;01/01/1900 09:50:00;45;01/07/2009;01/01/1900 07:25:00;45;897;466;876;136,10;0,532;29,80;465;25,00;34,51;61,72;;
66120000;1;20/04/2010;01/01/1900 09:33:00;47;20/04/2010;01/01/1900 06:20:00;47;513;601;967;146,40;0,622;9,441;513;29,30;7,68;55,27;;
66120000;1;11/04/2011;01/01/1900 16:05:00;49;11/04/2011;01/01/1900 14:03:00;49;530;673,993;1024,68;148,50;0,658;6,567;530;29,70;;39,17;;
66120000;1;01/08/2013;01/01/1900 17:00:00;56;01/08/2013;01/01/1900 15:46:00;56;400;306,698;827,309;134,64;0,365;21,90;400;23,53;;;;
66120000;1;01/11/2013;01/01/1900 09:15:00;57;01/11/2013;01/01/1900 07:40:00;57;308;222,244;716,041;131,62;0,313;44,30;308;29,84;;;;
66120000;1;11/04/2014;01/01/1900 08:53:00;58;11/04/2014;01/01/1900 07:17:00;58;522;582,223;990,26;143,76;0,593;51,30;522;31,14;;;;
66120000;1;14/08/2014;01/01/1900 15:48:00;59;14/08/2014;01/01/1900 13:44:00;59;453;386,25;961,03;136,28;0,404;17,20;453;;;;;
66120000;1;22/11/2014;01/01/1900 10:15:00;60;22/11/2014;01/01/1900 08:20:00;60;356;249,769;800,28;132,10;0,314;71,00;356;30,18;;;;
66120000;1;14/04/2017;01/01/1900 09:15:00;67;14/04/2017;01/01/1900 07:22:00;67;517;588,397;851,42;130,09;0,693;16,50;517;29,50;;90,00;;
66120000;1;12/04/2018;01/01/1900 19:10:00;72;12/04/2018;01/01/1900 17:47:00;72;534;610,41;1012,092;142,40;0,628;9,90;534;30,80;;56,50;;
66120000;1;13/07/2018;01/01/1900 09:00:00;73;13/07/2018;01/01/1900 08:52:00;73;452;365;970,1;137,30;0,376;12,80;452;21,50;;101,40;;
66120000;1;23/10/2018;01/01/1900 15:35:00;74;23/10/2018;01/01/1900 15:29:00;74;330;222;789,6;129,80;0,281;45,90;330;30,00;;335,80;;
66120000;1;29/09/2010;01/01/1900 11:20:00;48;29/09/2010;01/01/1900 07:50:00;48;250;188,752;637,21;123,80;0,296;65,66;250;30,20;108,59;48,30;;
66120000;1;05/07/2007;01/01/1900 16:50:00;419;05/07/2007;01/01/1900 14:40:00;40;419;413;847;131,70;0,487;30,62;419;25,40;;52,00;;
66120000;1;13/10/2017;01/01/1900 18:10:00;69;13/10/2017;01/01/1900 16:55:00;69;303;208;642;124,10;0,330;34,10;303;31,90;;69,30;;
66120000;1;01/07/2017;01/01/1900 08:05:00;68;01/07/2017;01/01/1900 07:31:00;68;470;434,092;968,572;138,54;0,450;10,20;470;24,50;;126,80;;
66120000;1;11/11/2016;01/01/1900 18:05:00;66;11/11/2016;01/01/1900 17:34:00;66;310;211,636;705,81;132,02;0,299;23,20;310;30,70;;304,80;;
66120000;1;10/08/2016;01/01/1900 09:38:00;65;10/08/2016;01/01/1900 07:50:00;65;320;208,23;736,991;132,93;0,281;17,50;320;25,70;;156,00;;
66120000;1;21/11/2015;01/01/1900 10:04:00;63;21/11/2015;01/01/1900 07:47:00;63;357;257,444;768,762;133,57;0,340;30,60;357;29,70;;;;
66120000;1;25/08/2015;01/01/1900 09:46:00;62;25/08/2015;01/01/1900 08:16:00;62;374;265,724;801,481;134,52;0,339;25,70;374;27,55;;;;
66120000;1;14/04/2015;01/01/1900 09:11:00;61;14/04/2015;01/01/1900 07:25:00;61;496;512,828;955,8;137,98;0,559;9,30;496;29,07;;;;
66120000;1;28/04/2013;01/01/1900 17:15:00;55;28/04/2013;01/01/1900 15:28:00;55;502;503,849;966,1;123,72;0,532;10,30;502;;;54,20;;
66120000;1;05/12/2012;01/01/1900 18:30:00;54;05/12/2012;01/01/1900 16:14:00;54;329;256,603;730,37;132,80;0,351;31,10;329;31,00;40,10;41,90;;
66120000;1;27/03/2012;01/01/1900 18:30:00;52;27/03/2012;01/01/1900 16:14:00;52;446;406,588;935,32;136,60;0,435;18,70;445;29,30;19,20;82,31;;
66120000;1;04/08/2011;01/01/1900 17:25:00;50;04/08/2011;01/01/1900 15:35:00;50;366;427,943;881,06;133,20;0,486;25,76;366;22,50;43,51;63,40;;
66120000;1;23/09/2009;01/01/1900 19:08:00;45;23/09/2009;01/01/1900 16:38:00;45;288;252,813;544,59;107,70;0,464;41,97;288;27,30;23,94;46,59;;
66120000;1;01/11/2007;01/01/1900 10:00:00;41;01/11/2007;01/01/1900 07:40:00;41;333;300,991;739,21;128,00;0,407;39,81;333;30,20;;34,00;;
