Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66120000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;datains;dataalt;respalt;tecnico;medidorvazao
66120000;1;14/06/2000;01/01/1900 07:00:00;23;466;501;842,3;137,70;0,595;6,25;;;;;;
66120000;1;23/08/2000;01/01/1900 07:00:00;24;330;280;676,5;128,70;0,414;5,26;;;;;;
66120000;1;22/11/2000;01/01/1900 07:20:00;25;359;316,302;698,78;130,20;0,453;5,37;;;;;;
66120000;1;16/10/1967;01/01/1900 07:00:00;1;232;185;551;107,00;0,340;5,15;;;;;;
66120000;1;16/10/1968;01/01/1900 07:00:00;2;240;184;508;112,00;0,360;4,53;;;;;;
66120000;1;24/01/1969;01/01/1900 07:00:00;3;378;318;630;118,00;0,500;5,34;;;;;;
66120000;1;04/03/1969;01/01/1900 07:00:00;4;406;402;717;125,00;0,560;5,74;;;;;;
66120000;1;15/05/1969;01/01/1900 07:00:00;5;401;392;759;136,00;0,520;5,58;;;;;;
66120000;1;10/06/1969;01/01/1900 07:00:00;6;372;297;648;125,00;0,450;5,18;;;;;;
66120000;1;15/09/1969;01/01/1900 07:00:00;7;210;175;459;120,00;0,380;3,82;;;;;;
66120000;1;06/11/1969;01/01/1900 07:00:00;8;256;207;496;123,00;0,420;4,03;;;;;;
66120000;1;10/03/1970;01/01/1900 07:00:00;9;402;312;716;138,00;0,440;5,19;;;;;;
66120000;1;05/05/1970;01/01/1900 07:00:00;10;456;476;795;134,00;0,600;5,03;;;;;;
66120000;1;09/06/1970;01/01/1900 07:00:00;11;429;405;709;154,00;0,560;4,60;;;;;;
66120000;1;27/08/1970;01/01/1900 07:00:00;12;260;198;487;115,00;0,410;4,23;;;;;;
66120000;1;23/09/1970;01/01/1900 07:00:00;13;246;190;470;115,00;0,400;4,09;;;;;;
66120000;1;17/04/1971;01/01/1900 07:00:00;14;382;348;625;126,00;0,560;4,96;;;;;;
66120000;1;08/11/1971;01/01/1900 07:00:00;15;286;254;562;126,00;0,450;4,46;;;;;;
66120000;1;21/03/1972;01/01/1900 07:00:00;16;421;437;719;109,00;0,610;6,60;;;;;;
66120000;1;05/04/1973;01/01/1900 07:00:00;17;431;486;728;138,00;0,670;5,27;;;;;;
66120000;1;18/06/1973;01/01/1900 07:00:00;18;396;336;609;131,00;0,550;4,65;;;;;;
