Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:66090000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
66090000;1;01/05/2011;;1;1;1019,323;577,398;811,212;1;31;1;1;1;;0;1019,323;1005,927;995,962;986,067;976,241;972,981;969,728;956,796;947,177;931,296;915,604;906,278;890,885;866,639;842,862;831,148;813,792;796,693;782,638;760,515;731,24;688,051;664,594;653,06;641,654;628,775;617,643;603,516;591,133;581,953;577,398;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/06/2011;;1;1;572,865;482,863;531,318;1;30;1;1;1;;0;572,865;568,355;568,355;568,355;565,361;562,377;557,92;552,013;546,145;537,419;527,351;515,994;513,179;520,235;528,782;533,089;535,973;538,867;537,419;534,53;528,782;525,923;520,235;511,776;506,186;502,019;497,874;491,014;488,287;482,863;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
66090000;1;01/07/2011;;1;1;478,819;373,079;427,15;1;31;1;1;1;;0;478,819;474,798;472,129;464,18;458,928;457,621;456,316;453,714;449,829;448,539;448,539;445,965;448,539;445,965;444,681;438,3;431,978;424,469;415,813;407,272;402,441;398,843;396,455;394,077;391,707;389,347;385,824;383,486;381,158;378,838;373,079;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/08/2011;;1;1;371,934;331,13;347,669;1;24;1;1;1;;0;371,934;370,791;368,513;368,513;365,111;363,982;363,982;361,729;360,607;359,486;357,252;357,252;355,027;349,502;344,033;341,86;337,542;335,396;335,396;333,258;333,258;333,258;332,193;331,13;331,13;332,193;334,326;336,468;337,542;337,542;337,542;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/09/2011;;1;1;336,468;297,251;318,691;1;30;1;1;1;;0;336,468;333,258;333,258;331,13;329,01;326,898;325,846;324,796;321,658;320,617;318,54;318,54;316,472;316,472;316,472;314,412;314,412;314,412;316,472;316,472;318,54;318,54;319,577;320,617;317,505;311,339;308,285;303,238;300,235;297,251;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
66090000;1;01/10/2011;;1;1;337,542;298,244;319,23;18;8;1;1;1;;0;302,235;305,251;307,272;304,243;302,235;300,235;300,235;298,244;303,238;308,285;312,362;316,472;320,617;323,748;325,846;331,13;334,326;337,542;337,542;335,396;333,258;329,01;326,898;326,898;326,898;324,796;324,796;322,702;321,658;322,702;330,069;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/11/2011;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;331,13;329,01;327,953;334,326;344,033;367,376;375,376;365,111;359,486;361,729;370,791;382,321;388,17;396,455;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
66090000;1;01/12/2011;;1;1;;;;;;0;0;0;;0;410,918;410,918;410,918;395,265;363,982;366,243;375,376;382,321;383,486;388,17;390,526;392,891;394,077;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/01/2012;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;648,156;674,583;674,583;689,746;696,555;715,498;708,572;712,03;718,978;722,468;733,003;744,214;749,62;755,054;760,515;774,289;782,638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/02/2012;;1;1;947,177;793,868;905,675;19;1;1;1;1;;0;793,868;808,064;819,549;842,862;851,724;863,642;869,644;881,737;890,885;900,098;915,604;918,727;921,858;928,142;934,457;937,625;940,802;940,802;947,177;943,985;937,625;937,625;934,457;931,296;928,142;934,457;934,457;934,457;940,802;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
